이단 종교 교리 알려면 종교 내부 인사 초빙 해서 들어야 제대로 들을 같아요 외부 질의 응답 이렇게 되는 정상 아닌가요 ?,0.0
인도 기독교 선교 할 수 없는 나라 입니다 . 일반 비자 인도 방문 후 선교 활동 하면 추방 되는 나라 입니다 . 특히 인도 북부 원리 힌두교도 판치는 지역 입니다 . 절대 선교 활동 하지 마세요,0.0
대부분 건전 교단 교류 금지 내려진 단체 귀 신론 김기동 계열 비슷한 닩 제입 니 . 주의 요망,0.0
정말 징글징글 하다 기독교 ... 끔찍해,0.0
앞 방역 반해 감염 유발 하는 뭐라고 부를까 ? 코로나 스파이 ? 감염 빨갱이 ? 코로나 간첩 ?,0.0
이제 인터콥 정부 기독교 핍박한다고 더 뭉쳐서 기도 장부 비방 히 데모 할것 입니다 .,0.0
기적,0.0
기독교 인터 콥 ... 훌륭하다 .. 빨리 천 국가 ..,0.0
?? 기독교 연 수원 칭한건 뉴스 . 알 계신가요 ? 알 말 하세요,0.0
"나라 지침 잘 지키는 교회 사과 하느라 바쁘고 , 안 지키는 교회 사고치느라 바쁘고 아이러니 하다",0.0
종교 팔이 장사꾼 놈 신 믿기는 하는지 ? 신 돈 . 공부 못 하는 주둥이 살아서 주둥이 터 재능 수 이하 데비 대 예배 돈 적게 들어와 엉뚱한 핑계 대고 있지 . 니 지옥 안 믿지 ?,0.0
적폐 판사 있으니 문제 . 코로나 당연히 비대 해야지 . 근데 고발장 손 들어주는 적 폐가 있을것 같은게 무섭네 . 집회 하라 하는 판사 .,0.0
"교회 사업 장이 하여 집합 금지 대한 손해배상 , 정부 원금 배분 요청 안하나요 ?",0.0
우리나라 교회 싹 없어져야 ~ 프랜차이즈 아니고 치킨 집 많은것 같아 ~,0.0
돈 목사 . 직접 코로나 드세요 .,0.0
미쳐도 곱 미치세요 난 십자가 바 코로나 같아 보이,0.0
반성 할 ㄹ 줄 모르는 기독교 교회 . 기독교 인간 위 종교 아니라 목사 배 채우기 위 장사치,0.0
교회 피해 입었다 ? 먼 소리 ? 신도 다치면 안되는거지,0.0
주 겨 버리고 ㅅ ㄷ,0.0
뻔 뻔하기가 양 아치 양심 헌금 해 버렸나 ? 종교 참가 치를 모르는것이 감히 국민 위 설려고 천하 몹쓸 놈 있나 니 목사 ?,0.0
"사이비 하여간 문제 , 니 이단 단 .",0.0
대한민국 교회 정말 없애 버렸으면 좋겟습니다 . 온갖 악행 서슴없이 저지르면서 하는님 믿고 착하게 살라 하니 ....... 모든 교회 대한민국 추방 해 버려야 합니다 .,0.0
"이로써 기독교 관심 국민 국 리민 복 관심 없음 명명백백해졌다 . 관심 있는건 "" 돈 "" 뿐 사실 ~~~~~ 역겹다 . 종교 이렇게 혐오 적은 처음",0.0
종교 단체 아니라 태러단체 .,0.0
비대 하면 하나님 예배 안 받아주나구여 ㅠ,0.0
교인 명 없는 교회 목사 사과 하는 물 타기 해서 인기 얻으려고 ? 니 영웅 되고 ?,0.0
헌법 상 종교 자유 란 국민 개개인 종교 갖던 말던 국가 간 하지 않는다는 뜻 생각 되죠 . 신앙 내세워 공동체 해악 끼쳐도 된다는 말 아닐텐데 ~~,0.0
기독교 사라지는 그날,0.0
한반도 교회 맹신 하는 해충 존재 민족 대 재앙 ~ 하루속히 살충 재 박멸 해야우리 민족 평화 온다,0.0
우리나라 교회 판사 없었으면 진즉 선진국 되었음 참고 판사 앞 AI 대체 해라,0.0
성당 오늘 대면 교회 안되는거냐 ! 성당 절 되고 교회 안되니 ?,0.0
MBC 스트레이트 보니 예수 이용 국민 우롱 하고 도둑 놈 소굴 사랑 빙자 코로나 전파 하고 교회 개판,0.0
위기 싶으니 손절 하는 같네 . 쑈 같어 .,0.0
저런 교회 없애주세요,0.0
그나마 정신 제대로 박힌 교회 있구나 .,1.0
하나님 믿지 목사 맏 ?,0.0
정신 나간 교인 예배 보다 한 인간 생명,0.0
자유 / 넘치니 / 개판 ㅡ 군사독재 / 정부 / 딱이다 ㅡ,0.0
"신천지 사랑 교회 개신교 권위 추락 시켜 안타깝다 . 저런 악마 배후 세력 , 기득권 빌붙 어사 대형 교회 , 뉴라이트 ~ 표 넘 보고있는 보수 세력 문제 .",0.0
냄새 태극기 좀비 놈 이제 사람 고발 했다는 거 아닌가 ?,0.0
한국 기독교 코로나 사태 뒤 돌아보고 반성 해야 한다,0.0
"중국 국경 폐쇄하 않은 문재인 수사 하지 않느냐 , 울산 시장 부정선거 주 범 수사 거부 !",0.0
년전 인간 숭배 종교 아무 생각 없이 따라하는 멍청한 사람 .,0.0
특히 놈 전도 질땜 더욱 역겹다는 .. 좋다고 남 똑같이 강요 하는 짓거 린 ㄷㄴ 공산주의 전체 독재 주의자 더뻔 뻔하고 더러운 이기주의 뿐,0.0
니 나인 간 답 살아라 .,0.0
공산당 종교 위 존재 하면 그건 종교 아니야 .,0.0
미치면 약도 없는것 자비 치료 벌금 물 감옥 가라,0.0
말 안해 알아서 하고 있네 . 정치 방역 기독 교회 탄압 하지 마시오 .,0.0
기 서도 남북 교류 쳐 얘기 하고있네 덜 떨어진 새끼 ....,0.0
쌩쑈 그만 하슈 문씨,0.0
죄인 동안뭐했는지 소상히 밝혀라 ~~,0.0
뭔 소리 달님 영창 ~~~~~~ 가는 길이 정해진 수순,0.0
놈 없는 대한민국 살 싶다 .,0.0
